"trade_date","open","high","low","close","vol"
"20160411","250.5","255.18","243.5","243.72","119284.68"
"20160408","252","255.89","248.2","249.86","23156.02"
"20160407","256.89","257.48","252.62","254.11","25536.39"
"20160406","245.8","257.6","245.8","257.21","48424.92"
"20160405","243","247.5","243","245.52","25047.85"
"20160401","248.95","250.49","244.54","245.09","25146.07"
"20160331","249.84","250.3","246.99","247.64","19457.34"
"20160330","249","250.4","245.48","248.66","27782.6"
"20160329","249.6","251","244.44","248.11","36688.05"
"20160328","244.98","253.38","244.98","249.58","48337.65"
"20160325","242.5","249.79","241.02","244.98","44756.16"
"20160324","235","245.4","231.3","242.66","62068.02"
"20160323","235.2","237","232.68","234.97","21412.06"
"20160322","232.26","238.18","231.5","234.49","41766.61"
"20160321","226.66","232.02","226.65","231.98","38547.45"
"20160318","232","232.26","225.78","226","70568.94"
"20160317","230","234.1","228.3","229.56","28820.95"
"20160316","230.22","232.5","225","228.61","24250.97"
"20160315","224.8","234.39","224.34","231.92","36356.33"
"20160314","230.76","233.5","222.2","224.57","45277.83"
"20160311","226.54","231.88","225.5","228.05","16320.08"
"20160310","228.99","233.7","228","228.06","25727.46"
"20160309","227","232.65","226.1","227.44","16402.6"
"20160308","233.3","233.3","227","229.21","26147.22"
"20160307","238.11","240","231.05","233.64","39345.55"
"20160304","226.88","240.16","225.01","238.78","85838.69"
"20160303","225","231.98","221.66","227.81","40193.28"
"20160302","219","225.5","218.67","224.22","47942.66"
"20160301","215.96","220.3","210.4","218.42","34004.59"
"20160229","218.99","220.88","206.8","214.91","47712.46"
"20160226","213.1","219.25","211.26","216.84","28332.71"
"20160225","218.8","220.48","212.13","212.41","39480.65"
"20160224","212.2","218.03","211.01","217.74","33129.02"
"20160223","207.77","214.98","207.02","212.41","37460.89"
"20160222","206","208.32","206","207.8","27759.86"
"20160219","201.62","203.18","201.13","203.11","14238.46"
"20160218","203.2","203.6","201.1","201.71","18892.56"
"20160217","203.74","204.92","200.51","202.3","20349.11"
"20160216","200.56","208","200.56","203.92","19223.16"
"20160215","200","203","199.6","200.41","19470.18"
"20160205","204.99","205.18","202.53","203.87","14227.67"
"20160204","204.8","205.88","203.54","204.99","16624.75"
"20160203","202.58","204.56","201.5","203.66","15156.99"
"20160202","202","204.8","200.64","204.55","17842.08"
"20160201","202.1","202.8","199.89","201.29","19178.02"
"20160129","197.48","202.5","197","200.65","23090.24"
"20160128","199.75","199.75","195.62","196.64","17903"
"20160127","199.98","200.89","195.7","199.93","29840.41"
"20160126","200.99","204.47","198.5","199.01","22280.92"
"20160125","203","203.49","201.5","202.77","13750.45"
"20160122","203.11","203.4","198.81","202.74","22733.48"
"20160121","201.26","204.59","199.9","200.26","21832.29"
"20160120","207","210.16","201.01","202.32","40968.66"
"20160119","201","210.33","200.01","210.24","59110.22"
"20160118","198","202.4","197.2","199.43","27371.23"
"20160115","204.75","206.18","198","199","26681.19"
"20160114","197.11","205.98","195.51","204.82","34776.06"
"20160113","199.1","206","198.6","199.78","29201.98"
"20160112","201.1","202.1","196","196.79","40287.23"
"20160111","203.16","203.79","199.4","199.86","29702.58"
"20160108","204.17","208","200","204.63","44510.09"
"20160107","208.99","208.99","200.03","202.23","8148.68"
"20160106","212.78","213.66","209.3","212.18","23760.9"
"20160105","210","213.97","207.51","212.82","31908.91"
"20160104","218","218","209.99","210.02","17349.69"
"20151231","218.22","219.5","217.82","218.19","19673.87"
"20151230","220.18","220.66","217.52","218.86","20147.66"
"20151229","218.62","220.44","218.51","219.83","15774.33"
"20151228","225.48","226","219","219.12","25594.52"
"20151225","225","225.66","222.88","224.5","11542.95"
"20151224","223.98","225.68","223.2","224.78","15577.88"
"20151223","225.45","226.69","222.7","223","22374.97"
"20151222","226.8","226.8","223.28","225.03","28402.45"
"20151221","218","229.18","218","227.03","59391.89"
"20151218","215.5","219.15","215.11","216.88","28460.2"
"20151217","214.39","216.88","214","215.86","24253.21"
"20151216","214.41","214.64","212.59","213.91","20144.8"
"20151215","213.8","214.59","212.08","214.51","15088.39"
"20151214","210.19","214.88","209","214.1","20701.34"
"20151211","212.5","212.5","210.5","211.41","13035.48"
"20151210","215","216.2","211.99","212.96","13786.71"
"20151209","211.58","215.05","211.5","214.47","14119.77"
"20151208","214.55","214.55","211.46","211.94","17393.68"
"20151207","215","216.98","213.2","214.51","19255.09"
"20151204","219.96","219.96","215.01","215.31","20848.71"
"20151203","219","221.4","216.7","220.2","22386.83"
"20151202","214.48","227","212","221.58","47891.45"
"20151201","213","213.95","211","213.8","18877.54"
"20151130","208.04","214.78","207.79","214.31","33440.03"
"20151127","212.49","212.54","206.63","207.74","16220.72"
